_id,EVENT_UNIQUE_ID,OCCURRENCE_YEAR,OCCURRENCE_DATE,OCCURRENCE_TIME,REPORTED_YEAR,REPORTED_DATE,REPORTED_TIME,DIVISION,LOCATION_TYPE,AGE_BIAS,MENTAL_OR_PHYSICAL_DISABILITY,RACE_BIAS,ETHNICITY_BIAS,LANGUAGE_BIAS,RELIGION_BIAS,SEXUAL_ORIENTATION_BIAS,GENDER_BIAS,MULTIPLE_BIAS,PRIMARY_OFFENCE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,ARREST_MADE,OFFENCE_GROUP,LOCATION_CATEGORY,LOCATION_GROUP
734,GO-20212400705,2021,2021-12-08,1045,2021,2021-12-13,1311,D41,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,None,None,None,NO,Assault,120,Clairlea-Birchmount (120),120,Clairlea-Birchmount (120),NO,Assault-related Offenses,Public,Public
735,GO-20212407165,2021,2021-12-12,1100,2021,2021-12-14,1119,D42,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,None,2SLGBTQ+,None,YES,Mischief Interfere With Property,148,East L'Amoreaux (148),117,L'Amoreaux (117),NO,Mischief and Property Damage,Public,Public
736,GO-20212428190,2021,2021-12-15,607,2021,2021-12-17,950,D52,Public Transportation,NO,NO,Black,None,None,None,None,None,NO,Uttering Threats - Bodily Harm,166,St Lawrence-East Bayfront-The Islands (166),077,Waterfront Communities-The Island (77),NO,Threats and Harassment,Public,Public
737,GO-20212421476,2021,2021-12-16,830,2021,2021-12-16,1045,D33,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,Black,None,None,Jewish,None,None,YES,Mischief Under $5000,150,Fenside-Parkwoods (150),045,Parkwoods-Donalda (45),NO,Mischief and Property Damage,Private,Private
741,GO-2022445306,2022,2022-01-01,1,2022,2022-03-09,1357,D52,Business/Retail,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),NO,Mischief and Property Damage,Public,Public
744,GO-202217411,2022,2022-01-03,1820,2022,2022-01-03,2353,D51,Public Transportation,NO,NO,East/Southeast Asian,None,None,None,None,None,NO,Assault,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),NO,Assault-related Offenses,Public,Public
745,GO-202235118,2022,2022-01-06,654,2022,2022-01-06,1455,D52,Public Transportation,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),NO,Mischief and Property Damage,Public,Public
746,GO-202265776,2022,2022-01-08,611,2022,2022-01-11,1208,D51,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,Black,None,None,Jewish,2SLGBTQ+,None,YES,Mischief Under $5000,074,North St.James Town (74),074,North St.James Town (74),NO,Mischief and Property Damage,Private,Private
747,GO-2022263059,2022,2022-01-09,2334,2022,2022-02-09,1342,D14,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,165,Harbourfront-CityPlace (165),077,Waterfront Communities-The Island (77),NO,Mischief and Property Damage,Private,Private
748,GO-202272588,2022,2022-01-11,1210,2022,2022-01-12,1348,D52,Public Transportation,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),NO,Mischief and Property Damage,Public,Public
751,GO-2022149653,2022,2022-01-23,1711,2022,2022-01-23,1711,D52,Streets/Roadways/Highway,NO,NO,East/Southeast Asian,None,None,None,None,None,NO,Assault,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),YES,Assault-related Offenses,Public,Public
752,GO-2022277041,2022,2022-01-25,1300,2022,2022-02-12,823,D11,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,088,High Park North (88),088,High Park North (88),NO,Mischief and Property Damage,Public,Public
755,GO-2022189700,2022,2022-01-28,2300,2022,2022-01-29,1133,D53,Streets/Roadways/Highway,NO,NO,Black,None,None,None,Gay,None,YES,Mischief Over $5000,099,Mount Pleasant East (99),099,Mount Pleasant East (99),NO,Mischief and Property Damage,Public,Public
756,GO-2022206429,2022,2022-01-31,2040,2022,2022-02-02,912,D52,Public Transportation,NO,NO,East/Southeast Asian,None,None,None,None,None,NO,Assault,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),NO,Assault-related Offenses,Public,Public
757,GO-2022243566,2022,2022-02-03,1,2022,2022-02-06,1305,D42,Religious Place of Worship/Cultural Centre,NO,NO,Black,None,None,None,None,None,NO,Mischief To Data,129,Agincourt North (129),129,Agincourt North (129),NO,Mischief and Property Damage,Public,Public
758,GO-2022252950,2022,2022-02-03,0,2022,2022-02-09,1400,D55,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,Jewish,None,None,YES,Mischief Under $5000,044,Flemingdon Park (44),044,Flemingdon Park (44),NO,Mischief and Property Damage,Public,Public
762,GO-2022292449,2022,2022-02-07,1245,2022,2022-02-14,953,D52,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,East/Southeast Asian,None,None,None,None,None,NO,Disturbing Religious Worship Or Certain Meetings,079,University (79),079,University (79),NO,Hate-related Offenses,Public,Public
763,GO-2022258169,2022,2022-02-08,1905,2022,2022-02-08,1905,D22,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,016,Stonegate-Queensway (16),016,Stonegate-Queensway (16),NO,Mischief and Property Damage,Public,Public
765,GO-2022267973,2022,2022-02-09,1200,2022,2022-02-10,913,D33,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,048,Hillcrest Village (48),048,Hillcrest Village (48),NO,Mischief and Property Damage,Public,Public
766,GO-2022270713,2022,2022-02-10,1530,2022,2022-02-10,1845,D22,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,Black,None,None,None,None,None,NO,Harassing Communications,159,Etobicoke City Centre (159),014,Islington-City Centre West (14),NO,Threats and Harassment,Private,Private
767,GO-2022326663,2022,2022-02-12,0,2022,2022-02-19,1313,D53,Streets/Roadways/Highway,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,096,Casa Loma (96),096,Casa Loma (96),NO,Mischief and Property Damage,Public,Public
768,GO-2022301278,2022,2022-02-15,1033,2022,2022-02-15,1731,D11,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,None,None,None,NO,Disturbing Religious Worship Or Certain Meetings,086,Roncesvalles (86),086,Roncesvalles (86),NO,Hate-related Offenses,Public,Public
769,GO-2022341002,2022,2022-02-21,2020,2022,2022-02-21,2151,D22,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,019,Long Branch (19),019,Long Branch (19),NO,Mischief and Property Damage,Public,Public
771,GO-2022377496,2022,2022-02-23,0,2022,2022-02-27,1240,D31,Non-Commercial/Non for Profit,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,154,Oakdale-Beverley Heights (154),026,Downsview-Roding-CFB (26),NO,Mischief and Property Damage,Casual,Corporate
784,GO-2022403056,2022,2022-03-01,1030,2022,2022-03-03,1520,D22,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,Jewish,2SLGBTQ+,None,YES,Mischief Under $5000,011,Eringate-Centennial-West Deane (11),011,Eringate-Centennial-West Deane (11),NO,Mischief and Property Damage,Public,Public
788,GO-2022432485,2022,2022-03-04,332,2022,2022-03-07,1610,D14,Public Transportation,NO,NO,South Asian,None,None,None,None,None,NO,Assault,164,Wellington Place (164),077,Waterfront Communities-The Island (77),NO,Assault-related Offenses,Public,Public
789,GO-2022446692,2022,2022-03-04,1,2022,2022-03-09,1724,D42,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Other race not mentioned,None,None,None,None,None,NO,Harassing Communications,118,Tam O'Shanter-Sullivan (118),118,Tam O'Shanter-Sullivan (118),NO,Threats and Harassment,Public,Public
793,GO-2022427294,2022,2022-03-06,2123,2022,2022-03-06,2123,D53,"Open Area, Park or Parking Lot",NO,NO,Black,None,None,Jewish,None,None,YES,Mischief Under $5000,174,South Eglinton-Davisville (174),104,Mount Pleasant West (104),NO,Mischief and Property Damage,Public,Public
795,GO-2022437671,2022,2022-03-07,0,2022,2022-03-08,1213,D42,Public Transportation,NO,NO,South Asian,None,None,None,2SLGBTQ+,None,YES,Mischief Under $5000,146,Malvern East (146),132,Malvern (132),NO,Mischief and Property Damage,Public,Public
801,GO-2022480176,2022,2022-03-14,1100,2022,2022-03-14,2035,D13,Streets/Roadways/Highway,NO,NO,Latino,None,None,None,None,None,YES,Assault,106,Humewood-Cedarvale (106),106,Humewood-Cedarvale (106),NO,Assault-related Offenses,Public,Public
803,GO-2022494757,2022,2022-03-15,1440,2022,2022-03-16,1859,D55,Public Transportation,NO,NO,East/Southeast Asian,None,None,Muslim,None,None,YES,Assault,065,Greenwood-Coxwell (65),065,Greenwood-Coxwell (65),NO,Assault-related Offenses,Public,Public
804,GO-2022493049,2022,2022-03-16,1423,2022,2022-03-16,1423,D53,Streets/Roadways/Highway,NO,NO,Other race not mentioned,None,None,None,None,None,NO,Mischief Under $5000,098,Rosedale-Moore Park (98),098,Rosedale-Moore Park (98),NO,Mischief and Property Damage,Public,Public
806,GO-2022534992,2022,2022-03-16,1348,2022,2022-03-22,1444,D31,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,None,None,None,NO,Disturbing Religious Worship Or Certain Meetings,027,York University Heights (27),027,York University Heights (27),NO,Hate-related Offenses,Public,Public
807,GO-2022506622,2022,2022-03-18,745,2022,2022-03-18,1601,D53,"Open Area, Park or Parking Lot",NO,NO,Black,None,None,None,None,None,NO,Assault,100,Yonge-Eglinton (100),100,Yonge-Eglinton (100),NO,Assault-related Offenses,Public,Public
808,GO-2022508361,2022,2022-03-18,1559,2022,2022-03-18,1559,D32,Streets/Roadways/Highway,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,NSA,NSA,NSA,NSA,NO,Mischief and Property Damage,Public,Public
812,GO-2022634644,2022,2022-04-06,47,2022,2022-04-06,47,D14,Public Transportation,NO,NO,East/Southeast Asian,None,None,None,None,None,NO,Assault,172,Dovercourt Village (172),093,Dovercourt-Wallace Emerson-Junction (93),NO,Assault-related Offenses,Public,Public
817,GO-2022680231,2022,2022-04-12,2200,2022,2022-04-12,2214,D55,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,065,Greenwood-Coxwell (65),065,Greenwood-Coxwell (65),NO,Mischief and Property Damage,Private,Private
819,GO-2022726974,2022,2022-04-14,1200,2022,2022-04-19,2359,D31,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,027,York University Heights (27),027,York University Heights (27),YES,Mischief and Property Damage,Public,Public
822,GO-2022780753,2022,2022-04-20,622,2022,2022-04-27,1007,D32,Other Commercial / Corporate Places ,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,037,Willowdale West (37),037,Willowdale West (37),NO,Mischief and Property Damage,Other,Other
824,GO-2022737679,2022,2022-04-21,27,2022,2022-05-15,1435,D32,NA,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,037,Willowdale West (37),037,Willowdale West (37),NO,Mischief and Property Damage,Other,Other
826,GO-2022815139,2022,2022-04-29,0,2022,2022-05-02,1722,D22,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,160,Mimico-Queensway (160),017,Mimico (includes Humber Bay Shores) (17),NO,Mischief and Property Damage,Public,Public
827,GO-2022798816,2022,2022-04-29,2053,2022,2022-04-29,2053,D51,NA,NO,NO,Middle Eastern,None,None,None,Gay,None,YES,Assault,071,Cabbagetown-South St.James Town (71),071,Cabbagetown-South St.James Town (71),NO,Assault-related Offenses,Other,Other
828,GO-2022820697,2022,2022-04-30,1500,2022,2022-05-03,730,D32,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,050,Newtonbrook East (50),050,Newtonbrook East (50),NO,Mischief and Property Damage,Public,Public
829,GO-2022808810,2022,2022-05-01,1030,2022,2022-05-01,1335,D22,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,012,Markland Wood (12),012,Markland Wood (12),NO,Mischief and Property Damage,Public,Public
831,GO-2022822665,2022,2022-05-03,839,2022,2022-05-14,625,D51,Public Transportation,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),NO,Mischief and Property Damage,Public,Public
833,GO-2022877834,2022,2022-05-11,614,2022,2022-05-11,614,D42,Public Transportation,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,145,Malvern West (145),132,Malvern (132),NO,Mischief and Property Damage,Public,Public
835,GO-2022889066,2022,2022-05-12,1030,2022,2022-05-12,1539,D55,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,Jewish,None,None,YES,Mischief Under $5000,068,North Riverdale (68),068,North Riverdale (68),NO,Mischief and Property Damage,Public,Public
839,GO-2022973725,2022,2022-05-16,205,2022,2022-05-24,959,D53,Public Transportation,NO,NO,East/Southeast Asian,None,None,None,None,None,NO,Assault,095,Annex (95),095,Annex (95),NO,Assault-related Offenses,Public,Public
844,GO-2022949224,2022,2022-05-20,2000,2022,2022-05-20,2000,D42,Public Transportation,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,145,Malvern West (145),132,Malvern (132),NO,Mischief and Property Damage,Public,Public
847,GO-2022984269,2022,2022-05-25,1646,2022,2022-05-25,1646,D32,NA,NO,NO,Black,None,None,None,None,None,NO,"Mischief To Religious Property, Educational Institutions, Etc.",040,St.Andrew-Windfields (40),040,St.Andrew-Windfields (40),NO,Mischief and Property Damage,Other,Other
850,GO-20221019688,2022,2022-05-30,1555,2022,2022-05-30,1555,D52,Other Commercial / Corporate Places ,NO,NO,Black,None,None,None,None,None,NO,Assault With a Weapon,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),YES,Assault-related Offenses,Other,Other
854,GO-20221069599,2022,2022-06-02,1600,2022,2022-06-06,1352,D41,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,None,2SLGBTQ+,None,YES,Mischief Under $5000,157,Bendale South (157),127,Bendale (127),NO,Mischief and Property Damage,Public,Public
859,GO-20221115446,2022,2022-06-12,1953,2022,2022-06-12,1953,D51,Streets/Roadways/Highway,NO,NO,East/Southeast Asian,None,None,None,None,None,NO,Assault,166,St Lawrence-East Bayfront-The Islands (166),077,Waterfront Communities-The Island (77),YES,Assault-related Offenses,Public,Public
862,GO-20221170289,2022,2022-06-17,1630,2022,2022-06-20,1343,D32,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,Jewish,None,None,YES,Mischief Under $5000,039,Bedford Park-Nortown (39),039,Bedford Park-Nortown (39),NO,Mischief and Property Damage,Public,Public
863,GO-20221153570,2022,2022-06-17,2200,2022,2022-06-18,448,D33,"Open Area, Park or Parking Lot",NO,NO,Black,None,None,Jewish,None,None,YES,Mischief Under $5000,042,Banbury-Don Mills (42),042,Banbury-Don Mills (42),NO,Mischief and Property Damage,Public,Public
865,GO-20221169688,2022,2022-06-20,1205,2022,2022-06-20,1205,D43,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,142,Woburn North (142),137,Woburn (137),NO,Mischief and Property Damage,Public,Public
866,GO-20221171643,2022,2022-06-20,1700,2022,2022-06-20,2031,D22,Streets/Roadways/Highway,NO,NO,East/Southeast Asian,None,None,None,None,None,NO,Assault,016,Stonegate-Queensway (16),016,Stonegate-Queensway (16),NO,Assault-related Offenses,Public,Public
868,GO-20221183437,2022,2022-06-22,1000,2022,2022-06-22,1000,D51,Streets/Roadways/Highway,NO,NO,Black,None,None,None,None,None,NO,Assault,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),YES,Assault-related Offenses,Public,Public
869,GO-20221550055,2022,2022-06-24,49,2022,2022-08-12,740,D55,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,East/Southeast Asian,None,None,None,None,None,NO,Mischief Under $5000,070,South Riverdale (70),070,South Riverdale (70),NO,Mischief and Property Damage,Private,Private
873,GO-20221322730,2022,2022-06-29,1700,2022,2022-07-11,1526,D52,Streets/Roadways/Highway,NO,NO,Black,None,None,None,None,None,NO,Assault,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),NO,Assault-related Offenses,Public,Public
875,GO-20221480609,2022,2022-06-30,1,2022,2022-08-02,1119,D43,"Government Building (Courthouse, Museums, Parliament Building, etc.)",NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,156,Bendale-Glen Andrew (156),127,Bendale (127),NO,Mischief and Property Damage,Government,Government
878,GO-20221249858,2022,2022-07-01,0,2022,2022-07-01,1525,D13,Streets/Roadways/Highway,NO,NO,"Indigenous, East/Southeast Asian",None,None,Jewish,None,None,YES,Mischief Under $5000,031,Yorkdale-Glen Park (31),031,Yorkdale-Glen Park (31),NO,Mischief and Property Damage,Public,Public
879,GO-20221259546,2022,2022-07-02,2300,2022,2022-07-02,2357,D51,Streets/Roadways/Highway,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),NO,Mischief and Property Damage,Public,Public
880,GO-20221334948,2022,2022-07-09,100,2022,2022-07-13,1255,D32,"Open Area, Park or Parking Lot",NO,NO,Black,None,None,Jewish,None,None,YES,Mischief Under $5000,151,Yonge-Doris (151),051,Willowdale East (51),NO,Mischief and Property Damage,Public,Public
883,GO-20221321249,2022,2022-07-10,600,2022,2022-07-11,1142,D32,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,Jewish,None,None,YES,Mischief Under $5000,152,East Willowdale (152),051,Willowdale East (51),NO,Mischief and Property Damage,Public,Public
885,GO-20221342512,2022,2022-07-14,956,2022,2022-07-14,1030,D32,NA,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,151,Yonge-Doris (151),051,Willowdale East (51),NO,Mischief and Property Damage,Other,Other
886,GO-20221350373,2022,2022-07-15,1100,2022,2022-07-15,1121,D41,Public Transportation,NO,NO,Black,None,None,Jewish,None,None,YES,Mischief Under $5000,120,Clairlea-Birchmount (120),120,Clairlea-Birchmount (120),NO,Mischief and Property Damage,Public,Public
888,GO-20221382749,2022,2022-07-19,2050,2022,2022-07-19,2055,D41,NA,NO,NO,Black,None,None,None,None,None,NO,Assault,157,Bendale South (157),127,Bendale (127),YES,Assault-related Offenses,Other,Other
890,GO-20221444222,2022,2022-07-28,858,2022,2022-07-28,858,D32,Streets/Roadways/Highway,NO,NO,"Black, East/Southeast Asian",None,None,Jewish,None,None,YES,Mischief Under $5000,151,Yonge-Doris (151),051,Willowdale East (51),NO,Mischief and Property Damage,Public,Public
895,GO-20221550771,2022,2022-08-12,945,2022,2022-08-12,945,D32,"Open Area, Park or Parking Lot",NO,NO,Black,None,None,Jewish,None,None,YES,Mischief Under $5000,152,East Willowdale (152),051,Willowdale East (51),NO,Mischief and Property Damage,Public,Public
897,GO-20221592493,2022,2022-08-15,0,2022,2022-08-18,1016,D55,"Open Area, Park or Parking Lot",NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,061,Taylor-Massey (61),061,Taylor-Massey (61),NO,Mischief and Property Damage,Public,Public
903,GO-20221659442,2022,2022-08-27,1526,2022,2022-08-27,1531,D51,Streets/Roadways/Highway,NO,NO,South Asian,None,None,None,None,None,NO,Assault,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),NO,Assault-related Offenses,Public,Public
904,GO-20221696014,2022,2022-08-28,300,2022,2022-09-01,1600,D22,Streets/Roadways/Highway,NO,NO,Black,None,None,None,None,None,NO,Assault,158,Islington (158),014,Islington-City Centre West (14),NO,Assault-related Offenses,Public,Public
906,GO-20221694295,2022,2022-09-01,1155,2022,2022-09-01,1155,D51,Streets/Roadways/Highway,NO,NO,"Black, South Asian",None,None,None,None,None,YES,Assault,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),YES,Assault-related Offenses,Public,Public
908,GO-20221760894,2022,2022-09-07,800,2022,2022-09-10,1303,D41,"Medical Facility (Hospitals, Long-term Care, etc.)",NO,NO,Black,None,None,Jewish,None,None,YES,Mischief Under $5000,126,Dorset Park (126),126,Dorset Park (126),NO,Mischief and Property Damage,Casual,Corporate
909,GO-20221739482,2022,2022-09-07,1625,2022,2022-09-07,1649,D43,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,South Asian,None,None,None,None,None,NO,Assault,141,Golfdale-Cedarbrae-Woburn (141),137,Woburn (137),YES,Assault-related Offenses,Private,Private
911,GO-20221745185,2022,2022-09-08,1209,2022,2022-09-08,1209,D52,"Open Area, Park or Parking Lot",NO,NO,Indigenous,None,None,None,None,None,NO,Mischief Under $5000,169,Bay-Cloverhill (169),076,Bay Street Corridor (76),NO,Mischief and Property Damage,Public,Public
919,GO-20221847895,2022,2022-09-22,1750,2022,2022-09-22,1750,D51,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,East/Southeast Asian,None,None,None,None,None,NO,Assault,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),YES,Assault-related Offenses,Private,Private
928,GO-20221924212,2022,2022-10-03,1608,2022,2022-10-03,1608,D22,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,None,None,None,NO,Uttering Threats - Bodily Harm,010,Princess-Rosethorn (10),010,Princess-Rosethorn (10),NO,Threats and Harassment,Public,Public
930,GO-20221967641,2022,2022-10-09,1807,2022,2022-10-09,1807,D55,Streets/Roadways/Highway,NO,NO,Black,None,None,None,Gay,None,YES,Uttering Threats - Bodily Harm,062,East End-Danforth (62),062,East End-Danforth (62),NO,Threats and Harassment,Public,Public
936,GO-20222036569,2022,2022-10-19,2003,2022,2022-10-19,2003,D51,NA,NO,NO,"Black, Latino",None,None,None,None,None,YES,Uttering Threats - Bodily Harm,073,Moss Park (73),073,Moss Park (73),NO,Threats and Harassment,Other,Other
941,GO-20222067930,2022,2022-10-23,1400,2022,2022-10-24,1020,D22,"Open Area, Park or Parking Lot",NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,009,Edenbridge-Humber Valley (9),009,Edenbridge-Humber Valley (9),NO,Mischief and Property Damage,Public,Public
943,GO-20222070422,2022,2022-10-24,1515,2022,2022-10-24,1601,D52,Streets/Roadways/Highway,NO,NO,Black,None,None,Muslim,None,None,YES,Assault,079,University (79),079,University (79),NO,Assault-related Offenses,Public,Public
946,GO-20222123183,2022,2022-10-31,1800,2022,2022-10-31,2323,D51,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,South Asian,None,None,None,None,None,NO,Uttering Threats - Bodily Harm,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),YES,Threats and Harassment,Private,Private
947,GO-20222121068,2022,2022-10-31,1649,2022,2022-10-31,1649,D51,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,Black,None,None,None,None,None,NO,Assault,073,Moss Park (73),073,Moss Park (73),YES,Assault-related Offenses,Private,Private
949,GO-20222128867,2022,2022-11-01,500,2022,2022-11-01,1704,D55,Public Transportation,NO,NO,"Black, East/Southeast Asian",None,None,Jewish,None,None,YES,Mischief Under $5000,070,South Riverdale (70),070,South Riverdale (70),YES,Mischief and Property Damage,Public,Public
951,GO-20222380550,2022,2022-11-03,2100,2022,2022-12-06,1215,D22,Streets/Roadways/Highway,NO,NO,Black,None,None,Jewish,None,None,YES,Mischief Under $5000,009,Edenbridge-Humber Valley (9),009,Edenbridge-Humber Valley (9),NO,Mischief and Property Damage,Public,Public
953,GO-20222166300,2022,2022-11-06,1945,2022,2022-11-06,1945,D12,Religious Place of Worship/Cultural Centre,NO,NO,Black,None,None,Jewish,None,None,YES,Mischief Under $5000,029,Maple Leaf (29),029,Maple Leaf (29),NO,Mischief and Property Damage,Public,Public
959,GO-20222418948,2022,2022-11-13,1225,2022,2022-12-11,1441,D52,NA,NO,NO,Black,None,None,None,None,Woman,YES,Criminal Harassment,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),YES,Threats and Harassment,Other,Other
960,GO-20222215025,2022,2022-11-13,1200,2022,2022-11-13,1538,D52,Streets/Roadways/Highway,NO,NO,Black,None,None,None,None,Woman,YES,Uttering Threats - Bodily Harm,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),YES,Threats and Harassment,Public,Public
961,GO-20222220789,2022,2022-11-14,1257,2022,2022-11-14,1257,D55,Public Transportation,NO,NO,Black,None,None,None,None,None,NO,Assault With a Weapon,066,Danforth (66),066,Danforth (66),YES,Assault-related Offenses,Public,Public
962,GO-20222233727,2022,2022-11-16,631,2022,2022-11-16,1011,D52,Streets/Roadways/Highway,NO,NO,South Asian,None,None,None,None,None,NO,Assault,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),NO,Assault-related Offenses,Public,Public
963,GO-20229046712,2022,2022-11-23,1725,2022,2022-11-24,1006,D14,NA,NO,NO,South Asian,None,None,None,None,None,NO,Assault,164,Wellington Place (164),077,Waterfront Communities-The Island (77),YES,Assault-related Offenses,Other,Other
964,GO-20222291986,2022,2022-11-24,900,2022,2022-11-24,1134,D14,"Government Building (Courthouse, Museums, Parliament Building, etc.)",NO,NO,Black,None,None,None,2SLGBTQ+,None,YES,Mischief Interfere With Property,165,Harbourfront-CityPlace (165),077,Waterfront Communities-The Island (77),NO,Mischief and Property Damage,Government,Government
967,GO-20222347560,2022,2022-12-01,1905,2022,2022-12-01,2339,D55,Public Transportation,NO,NO,Black,None,None,None,None,None,NO,Uttering Threats - Bodily Harm,068,North Riverdale (68),068,North Riverdale (68),YES,Threats and Harassment,Public,Public
968,GO-20222366983,2022,2022-12-04,1559,2022,2022-12-04,1559,D51,Streets/Roadways/Highway,NO,NO,East/Southeast Asian,None,None,None,None,None,NO,Assault,073,Moss Park (73),073,Moss Park (73),NO,Assault-related Offenses,Public,Public
973,GO-20222416930,2022,2022-12-11,652,2022,2022-12-11,657,D52,Streets/Roadways/Highway,NO,NO,Black,None,None,None,None,None,NO,Assault With a Weapon,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),NO,Assault-related Offenses,Public,Public
976,GO-20222484145,2022,2022-12-20,1000,2022,2022-12-20,1128,D52,Other Commercial / Corporate Places ,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,164,Wellington Place (164),077,Waterfront Communities-The Island (77),NO,Mischief and Property Damage,Other,Other
977,GO-20222497900,2022,2022-12-21,1400,2022,2022-12-22,724,D11,Non-Commercial/Non for Profit,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,088,High Park North (88),088,High Park North (88),NO,Mischief and Property Damage,Casual,Corporate
986,GO-20233085,2023,2023-01-01,1,2023,2023-01-01,1217,D55,"Open Area, Park or Parking Lot",NO,NO,Black,None,None,Jewish,None,None,YES,Mischief Under $5000,069,Blake-Jones (69),069,Blake-Jones (69),NO,Mischief and Property Damage,Public,Public
989,GO-202310469,2023,2023-01-02,1320,2023,2023-01-02,1405,D51,Streets/Roadways/Highway,NO,NO,Black,None,None,None,None,None,NO,Assault,074,North St.James Town (74),074,North St.James Town (74),NO,Assault-related Offenses,Public,Public
