_id,EVENT_UNIQUE_ID,OCCURRENCE_YEAR,OCCURRENCE_DATE,OCCURRENCE_TIME,REPORTED_YEAR,REPORTED_DATE,REPORTED_TIME,DIVISION,LOCATION_TYPE,AGE_BIAS,MENTAL_OR_PHYSICAL_DISABILITY,RACE_BIAS,ETHNICITY_BIAS,LANGUAGE_BIAS,RELIGION_BIAS,SEXUAL_ORIENTATION_BIAS,GENDER_BIAS,MULTIPLE_BIAS,PRIMARY_OFFENCE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,ARREST_MADE,OFFENCE_GROUP,LOCATION_CATEGORY,LOCATION_GROUP
543,GO-2021586684,2021,2021-03-31,35,2021,2021-03-31,40,D43,Public Transportation,NO,NO,Black,None,None,None,None,Transgender,YES,Mischief Under $5000,136,West Hill (136),136,West Hill (136),YES,Mischief and Property Damage,Public,Public
544,GO-2021589948,2021,2021-03-31,1245,2021,2021-03-31,1308,D14,Business/Retail,NO,NO,East/Southeast Asian,None,None,None,None,None,NO,Uttering Threats - Bodily Harm,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),NO,Threats and Harassment,Public,Public
545,GO-2021598122,2021,2021-04-01,1420,2021,2021-04-01,2039,D55,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",NO,NO,South Asian,None,None,None,None,None,NO,Mischief Under $5000,059,Danforth East York (59),059,Danforth East York (59),NO,Mischief and Property Damage,Private,Private
547,GO-2021621742,2021,2021-04-03,1730,2021,2021-04-05,1434,D51,"Open Area, Park or Parking Lot",NO,NO,Black,None,None,Jewish,None,Woman,YES,Mischief Interfere With Property,166,St Lawrence-East Bayfront-The Islands (166),077,Waterfront Communities-The Island (77),NO,Mischief and Property Damage,Public,Public
550,GO-2021653304,2021,2021-04-09,1825,2021,2021-04-09,1825,D32,Public Transportation,NO,NO,East/Southeast Asian,None,None,None,None,None,NO,Assault With a Weapon,041,Bridle Path-Sunnybrook-York Mills (41),041,Bridle Path-Sunnybrook-York Mills (41),NO,Assault-related Offenses,Public,Public
551,GO-2021676930,2021,2021-04-09,410,2021,2021-04-09,603,D22,Public Transportation,NO,NO,Black,None,None,None,None,None,NO,Uttering Threats - Bodily Harm,019,Long Branch (19),019,Long Branch (19),NO,Threats and Harassment,Public,Public
553,GO-2021666152,2021,2021-04-11,1826,2021,2021-04-11,1826,D11,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",NO,NO,Black,None,None,None,None,None,NO,Uttering Threats - Bodily Harm,086,Roncesvalles (86),086,Roncesvalles (86),NO,Threats and Harassment,Private,Private
554,GO-2021666753,2021,2021-04-11,1830,2021,2021-04-11,2246,D55,Streets/Roadways/Highway,NO,NO,East/Southeast Asian,None,None,None,None,None,NO,Assault,061,Taylor-Massey (61),061,Taylor-Massey (61),NO,Assault-related Offenses,Public,Public
555,GO-2021676887,2021,2021-04-11,1214,2021,2021-04-13,1101,D51,Public Transportation,NO,NO,East/Southeast Asian,None,None,None,None,None,NO,Assault,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),YES,Assault-related Offenses,Public,Public
556,GO-2021661692,2021,2021-04-11,114,2021,2021-04-11,114,D52,Streets/Roadways/Highway,NO,NO,East/Southeast Asian,None,None,None,None,None,NO,Assault With a Weapon,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),YES,Assault-related Offenses,Public,Public
558,GO-2021717805,2021,2021-04-19,1338,2021,2021-04-19,1338,D51,Streets/Roadways/Highway,NO,NO,East/Southeast Asian,None,None,None,None,None,NO,Assault,074,North St.James Town (74),074,North St.James Town (74),YES,Assault-related Offenses,Public,Public
562,GO-2021788273,2021,2021-04-29,1941,2021,2021-04-29,1941,D31,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,"Black, East/Southeast Asian",None,None,None,2SLGBTQ+,None,YES,Mischief Under $5000,027,York University Heights (27),027,York University Heights (27),NO,Mischief and Property Damage,Private,Private
565,GO-2021802780,2021,2021-05-01,2146,2021,2021-05-03,800,D51,Public Transportation,NO,NO,Black,None,None,None,None,None,NO,Mischief Interfere With Property,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),NO,Mischief and Property Damage,Public,Public
568,GO-2021826425,2021,2021-05-05,1240,2021,2021-05-05,1243,D51,Streets/Roadways/Highway,NO,NO,Black,None,None,None,None,None,NO,Assault,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),YES,Assault-related Offenses,Public,Public
569,GO-2021859797,2021,2021-05-10,820,2021,2021-05-10,957,D53,Streets/Roadways/Highway,NO,NO,East/Southeast Asian,None,None,None,None,None,NO,Assault,173,North Toronto (173),104,Mount Pleasant West (104),YES,Assault-related Offenses,Public,Public
570,GO-2021867624,2021,2021-05-10,2000,2021,2021-05-11,1431,D12,Streets/Roadways/Highway,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,113,Weston (113),113,Weston (113),NO,Mischief and Property Damage,Public,Public
571,GO-2021865578,2021,2021-05-11,349,2021,2021-05-11,349,D55,Public Transportation,NO,NO,Black,None,None,Jewish,None,None,YES,Mischief Under $5000,065,Greenwood-Coxwell (65),065,Greenwood-Coxwell (65),NO,Mischief and Property Damage,Public,Public
573,GO-2021870722,2021,2021-05-11,1821,2021,2021-05-11,1901,D51,Public Transportation,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,072,Regent Park (72),072,Regent Park (72),NO,Mischief and Property Damage,Public,Public
575,GO-2021892509,2021,2021-05-14,1110,2021,2021-05-14,1737,D22,Government Building,NO,NO,Black,None,None,Jewish,None,None,YES,Mischief Under $5000,160,Mimico-Queensway (160),017,Mimico (includes Humber Bay Shores) (17),YES,Mischief and Property Damage,Government,Government
578,GO-2021898349,2021,2021-05-15,450,2021,2021-05-15,1602,D31,Streets/Roadways/Highway,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,021,Humber Summit (21),021,Humber Summit (21),NO,Mischief and Property Damage,Public,Public
585,GO-2021957429,2021,2021-05-23,1910,2021,2021-05-23,1910,D51,Streets/Roadways/Highway,NO,NO,East/Southeast Asian,None,None,None,None,None,NO,Assault,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),NO,Assault-related Offenses,Public,Public
586,GO-2021962565,2021,2021-05-24,1520,2021,2021-05-24,1532,D22,"Open Area, Park or Parking Lot",NO,NO,Black,None,None,None,None,None,NO,Assault,009,Edenbridge-Humber Valley (9),009,Edenbridge-Humber Valley (9),NO,Assault-related Offenses,Public,Public
587,GO-2021962023,2021,2021-05-24,1240,2021,2021-05-24,1605,D52,Streets/Roadways/Highway,NO,NO,East/Southeast Asian,None,None,None,None,None,NO,Assault,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),NO,Assault-related Offenses,Public,Public
588,GO-2021992486,2021,2021-05-28,1452,2021,2021-05-28,1840,D32,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,"Black, East/Southeast Asian",None,None,None,None,None,YES,Harassing Communications,036,Newtonbrook West (36),036,Newtonbrook West (36),NO,Threats and Harassment,Public,Public
589,GO-20211013649,2021,2021-05-31,2025,2021,2021-05-31,2146,D51,Streets/Roadways/Highway,NO,NO,East/Southeast Asian,None,None,None,None,None,NO,Assault,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),NO,Assault-related Offenses,Public,Public
593,GO-20211035664,2021,2021-06-03,2152,2021,2021-06-03,2153,D52,Streets/Roadways/Highway,NO,NO,South Asian,None,None,None,None,None,NO,Assault With a Weapon,165,Harbourfront-CityPlace (165),077,Waterfront Communities-The Island (77),NO,Assault-related Offenses,Public,Public
594,GO-20211031689,2021,2021-06-03,1152,2021,2021-06-03,1152,D41,"Open Area, Park or Parking Lot",NO,NO,Black,None,None,None,None,None,NO,Assault Causing Bodily Harm,120,Clairlea-Birchmount (120),120,Clairlea-Birchmount (120),YES,Assault-related Offenses,Public,Public
597,GO-20211054257,2021,2021-06-05,1530,2021,2021-06-06,1330,D55,Streets/Roadways/Highway,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,068,North Riverdale (68),068,North Riverdale (68),NO,Mischief and Property Damage,Public,Public
598,GO-20211052702,2021,2021-06-05,2300,2021,2021-06-06,839,D13,Streets/Roadways/Highway,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,108,Briar Hill-Belgravia (108),108,Briar Hill-Belgravia (108),NO,Mischief and Property Damage,Public,Public
599,GO-20211059733,2021,2021-06-06,455,2021,2021-06-07,938,D55,Streets/Roadways/Highway,NO,NO,Black,None,None,None,Gay,None,YES,Mischief Under $5000,068,North Riverdale (68),068,North Riverdale (68),NO,Mischief and Property Damage,Public,Public
601,GO-20211188693,2021,2021-06-07,1045,2021,2021-06-25,932,D51,Public Transportation,NO,NO,Black,None,None,None,None,None,NO,Uttering Threats - Bodily Harm,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),NO,Threats and Harassment,Public,Public
603,GO-20211069624,2021,2021-06-08,1523,2021,2021-06-08,1559,D31,Public Transportation,NO,NO,East/Southeast Asian,None,None,Jewish,None,None,YES,Mischief Under $5000,024,Black Creek (24),024,Black Creek (24),NO,Mischief and Property Damage,Public,Public
608,GO-20211124805,2021,2021-06-15,1001,2021,2021-06-16,1022,D13,Streets/Roadways/Highway,NO,NO,Black,None,None,None,None,None,NO,Criminal Harassment,094,Wychwood (94),094,Wychwood (94),YES,Threats and Harassment,Public,Public
612,GO-20211153112,2021,2021-06-19,830,2021,2021-06-20,822,D53,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,103,Lawrence Park South (103),103,Lawrence Park South (103),NO,Mischief and Property Damage,Public,Public
619,GO-20211210995,2021,2021-06-28,1200,2021,2021-06-28,1315,D13,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",NO,NO,Black,None,None,None,None,None,NO,Mischief Interfere With Property,031,Yorkdale-Glen Park (31),031,Yorkdale-Glen Park (31),NO,Mischief and Property Damage,Private,Private
622,GO-20211235761,2021,2021-07-01,2126,2021,2021-07-02,1102,D12,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,110,Keelesdale-Eglinton West (110),110,Keelesdale-Eglinton West (110),NO,Mischief and Property Damage,Private,Private
625,GO-20211257665,2021,2021-07-05,713,2021,2021-07-05,713,D51,Public Transportation,NO,NO,Black,None,None,None,None,None,NO,Assault,073,Moss Park (73),073,Moss Park (73),NO,Assault-related Offenses,Public,Public
629,GO-20211300409,2021,2021-07-11,900,2021,2021-07-11,1031,D55,Public Transportation,NO,NO,Black,None,None,None,None,None,NO,Assault,066,Danforth (66),066,Danforth (66),YES,Assault-related Offenses,Public,Public
631,GO-20211310924,2021,2021-07-13,246,2021,2021-07-13,246,D32,Public Transportation,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,038,Lansing-Westgate (38),038,Lansing-Westgate (38),NO,Mischief and Property Damage,Public,Public
634,GO-20211355524,2021,2021-07-18,1530,2021,2021-07-19,1057,D14,Streets/Roadways/Highway,NO,NO,East/Southeast Asian,None,None,None,None,None,NO,Other Criminal Code Offence Not Listed,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),NO,Other Offenses,Public,Public
636,GO-20211474464,2021,2021-07-22,1,2021,2021-08-05,934,D53,"Open Area, Park or Parking Lot",NO,NO,White,None,None,None,None,None,NO,Mischief Under $5000,041,Bridle Path-Sunnybrook-York Mills (41),041,Bridle Path-Sunnybrook-York Mills (41),NO,Mischief and Property Damage,Public,Public
637,GO-2021138105,2021,2021-07-22,427,2021,2021-07-23,734,D52,Public Transportation,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,166,St Lawrence-East Bayfront-The Islands (166),077,Waterfront Communities-The Island (77),NO,Mischief and Property Damage,Public,Public
639,GO-20211407893,2021,2021-07-26,1555,2021,2021-07-26,2015,D32,Other Commercial / Corporate Places ,NO,NO,Black,None,None,None,None,None,NO,Uttering Threats - Bodily Harm,153,Avondale (153),051,Willowdale East (51),YES,Threats and Harassment,Other,Other
642,GO-20211424334,2021,2021-07-29,143,2021,2021-07-29,143,D51,Business/Retail,NO,NO,Black,None,None,None,None,Transgender Woman (Identifies As Woman),YES,Assault,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),NO,Assault-related Offenses,Public,Public
644,GO-20211509638,2021,2021-08-09,1845,2021,2021-08-10,911,D52,Streets/Roadways/Highway,NO,NO,East/Southeast Asian,None,None,None,None,None,NO,Assault,164,Wellington Place (164),077,Waterfront Communities-The Island (77),YES,Assault-related Offenses,Public,Public
645,GO-2022549926,2021,2021-08-09,1854,2022,2022-03-24,1552,D13,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,East/Southeast Asian,None,None,None,None,None,NO,Harassing Communications,106,Humewood-Cedarvale (106),106,Humewood-Cedarvale (106),NO,Threats and Harassment,Private,Private
647,GO-20211528646,2021,2021-08-12,1630,2021,2021-08-12,1846,D52,Streets/Roadways/Highway,NO,NO,East/Southeast Asian,None,None,None,None,None,NO,Assault,164,Wellington Place (164),077,Waterfront Communities-The Island (77),NO,Assault-related Offenses,Public,Public
648,GO-20211550117,2021,2021-08-15,2115,2021,2021-08-15,2302,D11,Streets/Roadways/Highway,NO,NO,Black,None,None,None,None,None,NO,Assault,171,Junction-Wallace Emerson (171),093,Dovercourt-Wallace Emerson-Junction (93),YES,Assault-related Offenses,Public,Public
656,GO-20211672606,2021,2021-09-01,1900,2021,2021-09-01,2036,D51,Streets/Roadways/Highway,NO,NO,White,None,None,None,None,None,NO,Assault,073,Moss Park (73),073,Moss Park (73),YES,Assault-related Offenses,Public,Public
668,GO-20211776994,2021,2021-09-14,2300,2021,2021-09-16,1345,D13,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,107,Oakwood Village (107),107,Oakwood Village (107),NO,Mischief and Property Damage,Public,Public
671,GO-20211782739,2021,2021-09-17,951,2021,2021-09-17,951,D51,Other Commercial / Corporate Places ,NO,NO,Black,None,None,None,None,None,NO,Uttering Threats - Bodily Harm,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),YES,Threats and Harassment,Other,Other
675,GO-20211815721,2021,2021-09-21,1515,2021,2021-09-22,933,D55,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,Jewish,None,None,YES,Mischief Under $5000,064,Woodbine Corridor (64),064,Woodbine Corridor (64),NO,Mischief and Property Damage,Public,Public
677,GO-20211833486,2021,2021-09-23,1930,2021,2021-09-24,954,D52,Public Transportation,NO,NO,East/Southeast Asian,None,None,None,None,None,NO,Assault,165,Harbourfront-CityPlace (165),077,Waterfront Communities-The Island (77),NO,Assault-related Offenses,Public,Public
679,GO-20212010447,2021,2021-09-26,0,2021,2021-10-19,1353,D53,Other Commercial / Corporate Places ,NO,NO,South Asian,None,None,None,None,None,NO,Harassing Communications,098,Rosedale-Moore Park (98),098,Rosedale-Moore Park (98),NO,Threats and Harassment,Other,Other
680,GO-20211848115,2021,2021-09-26,1210,2021,2021-09-26,1241,D52,Streets/Roadways/Highway,NO,NO,East/Southeast Asian,None,None,None,None,None,NO,Assault,079,University (79),079,University (79),NO,Assault-related Offenses,Public,Public
682,GO-20211863376,2021,2021-09-28,1415,2021,2021-09-28,1429,D52,Streets/Roadways/Highway,NO,NO,Black,None,None,None,None,None,NO,Assault Causing Bodily Harm,165,Harbourfront-CityPlace (165),077,Waterfront Communities-The Island (77),YES,Assault-related Offenses,Public,Public
684,GO-20211877594,2021,2021-09-30,1228,2021,2021-09-30,1344,D51,Streets/Roadways/Highway,NO,NO,Black,None,None,None,None,None,NO,Assault,074,North St.James Town (74),074,North St.James Town (74),NO,Assault-related Offenses,Public,Public
688,GO-20211934698,2021,2021-10-05,2230,2021,2021-10-08,1230,D22,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",NO,NO,Black,None,None,None,2SLGBTQ+,None,YES,Mischief Under $5000,160,Mimico-Queensway (160),017,Mimico (includes Humber Bay Shores) (17),NO,Mischief and Property Damage,Private,Private
689,GO-20211922804,2021,2021-10-06,1946,2021,2021-10-06,1946,D52,Other Commercial / Corporate Places ,NO,NO,East/Southeast Asian,None,None,None,None,None,NO,Assault,164,Wellington Place (164),077,Waterfront Communities-The Island (77),NO,Assault-related Offenses,Other,Other
690,GO-20211921132,2021,2021-10-06,1520,2021,2021-10-07,1100,D55,Streets/Roadways/Highway,NO,NO,East/Southeast Asian,None,None,None,None,None,NO,Assault,070,South Riverdale (70),070,South Riverdale (70),NO,Assault-related Offenses,Public,Public
693,GO-20211932484,2021,2021-10-08,809,2021,2021-10-08,809,D52,Streets/Roadways/Highway,NO,NO,East/Southeast Asian,None,None,None,None,None,NO,Assault,164,Wellington Place (164),077,Waterfront Communities-The Island (77),NO,Assault-related Offenses,Public,Public
694,GO-20211966491,2021,2021-10-10,1845,2021,2021-10-13,1027,D32,Other Commercial / Corporate Places ,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,153,Avondale (153),051,Willowdale East (51),NO,Mischief and Property Damage,Other,Other
695,GO-20211955798,2021,2021-10-11,2115,2021,2021-10-11,2144,D52,Streets/Roadways/Highway,NO,NO,East/Southeast Asian,None,None,None,None,None,NO,Assault,164,Wellington Place (164),077,Waterfront Communities-The Island (77),NO,Assault-related Offenses,Public,Public
700,GO-20211998760,2021,2021-10-17,1430,2021,2021-10-17,2058,D52,"Open Area, Park or Parking Lot",NO,NO,Black,None,None,None,None,None,NO,Assault,164,Wellington Place (164),077,Waterfront Communities-The Island (77),NO,Assault-related Offenses,Public,Public
701,GO-20212142857,2021,2021-10-18,1815,2021,2021-11-07,507,D53,Public Transportation,NO,NO,Black,None,None,None,None,None,NO,Assault,098,Rosedale-Moore Park (98),098,Rosedale-Moore Park (98),YES,Assault-related Offenses,Public,Public
702,GO-20212024430,2021,2021-10-20,1835,2021,2021-10-22,1057,D42,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,None,None,None,NO,Disturbing Religious Worship Or Certain Meetings,129,Agincourt North (129),129,Agincourt North (129),NO,Hate-related Offenses,Public,Public
704,GO-20212036831,2021,2021-10-22,1400,2021,2021-10-22,1439,D31,NA,NO,NO,White,None,None,Jewish,None,None,YES,Mischief Under $5000,022,Humbermede (22),022,Humbermede (22),NO,Mischief and Property Damage,Other,Other
712,GO-20212124343,2021,2021-11-03,1815,2021,2021-11-04,1541,D41,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",NO,NO,South Asian,None,None,None,None,None,NO,Harassing Communications,123,Cliffcrest (123),123,Cliffcrest (123),NO,Threats and Harassment,Private,Private
713,GO-20212149280,2021,2021-11-06,1430,2021,2021-11-08,1320,D23,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,Jewish,2SLGBTQ+,None,YES,Mischief Under $5000,005,Elms-Old Rexdale (5),005,Elms-Old Rexdale (5),NO,Mischief and Property Damage,Public,Public
718,GO-20212294784,2021,2021-11-11,900,2021,2021-11-28,1457,D12,"House (Townhouse, Retirement Home, Garage, Vehicle, Cottage)",NO,NO,Black,None,None,None,None,None,NO,Criminal Harassment,115,Mount Dennis (115),115,Mount Dennis (115),YES,Threats and Harassment,Private,Private
720,GO-20212194397,2021,2021-11-14,1030,2021,2021-11-14,1258,D22,"Open Area, Park or Parking Lot",NO,NO,Black,None,None,Jewish,None,None,YES,Mischief Under $5000,018,New Toronto (18),018,New Toronto (18),NO,Mischief and Property Damage,Public,Public
721,GO-202275462,2021,2021-11-15,1,2022,2022-01-12,1841,D51,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,Black,None,None,None,None,None,NO,Uttering Threats - Bodily Harm,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),YES,Threats and Harassment,Private,Private
726,GO-20212269429,2021,2021-11-24,1425,2021,2021-11-24,2058,D53,Streets/Roadways/Highway,NO,NO,South Asian,None,None,None,None,None,NO,Assault,095,Annex (95),095,Annex (95),NO,Assault-related Offenses,Public,Public
727,GO-20212315408,2021,2021-11-25,2100,2021,2021-12-01,1704,D33,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,None,None,None,NO,Criminal Harassment,047,Don Valley Village (47),047,Don Valley Village (47),NO,Threats and Harassment,Public,Public
730,GO-20212357393,2021,2021-12-03,1,2021,2021-12-07,1101,D33,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,049,Bayview Woods-Steeles (49),049,Bayview Woods-Steeles (49),NO,Mischief and Property Damage,Public,Public
731,GO-2022275578,2021,2021-12-06,0,2022,2022-02-11,1222,D32,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,Black,None,None,Jewish,None,Woman,YES,Uttering Threats - Bodily Harm,032,Englemount-Lawrence (32),032,Englemount-Lawrence (32),YES,Threats and Harassment,Private,Private
